iter	RMSE
0	11623.64421
1	11267.04413
2	10948.83651
3	10607.90074
4	10291.54525
5	9997.776549
6	9715.225247
7	9449.255864
8	9191.876473
9	8935.532559
10	8703.162385
11	8464.888462
12	8245.606374
13	8043.805145
14	7856.351185
15	7690.11784
16	7518.976515
17	7348.0185
18	7195.979973
19	7079.656206
20	6925.331031
21	6793.057582
22	6660.027596
23	6531.423886
24	6416.985498
25	6303.083057
26	6204.098015
27	6098.859858
28	6003.659668
29	5906.836702
30	5820.867995
31	5738.157706
32	5662.131435
33	5587.550442
34	5524.945662
35	5454.820485
36	5390.478597
37	5336.385659
38	5288.202096
39	5236.193496
40	5178.207472
41	5126.419442
42	5082.053282
43	5037.702607
44	4996.541285
45	4955.423076
46	4923.301376
47	4888.83124
48	4861.273194
49	4829.73515
50	4801.775652
51	4772.482854
52	4744.80402
53	4720.015399
54	4697.40815
55	4677.233727
56	4659.022131
57	4638.661797
58	4618.058459
59	4600.949945
60	4581.478502
61	4562.580878
62	4546.453074
63	4532.431614
64	4516.383404
65	4502.768839
66	4488.330372
67	4474.374513
68	4461.278555
69	4456.357411
70	4446.372039
71	4434.49444
72	4424.28883
73	4412.723055
74	4403.213762
75	4395.693957
76	4388.875961
77	4380.023569
78	4370.862113
79	4363.60927
80	4354.512638
81	4346.799223
82	4339.500418
83	4334.56672
84	4328.624052
85	4320.484103
86	4314.639821
87	4309.637883
88	4300.635876
89	4294.938
90	4289.600757
91	4283.231709
92	4279.355676
93	4278.182597
94	4271.773224
95	4265.952626
96	4261.869791
97	4256.683724
98	4252.157548
99	4247.422924
100	4242.370197
101	4239.174668
102	4234.657574
103	4231.165971
104	4226.33534
105	4222.496181
106	4220.06232
107	4217.970534
108	4215.228793
109	4212.574847
110	4208.312387
111	4205.154534
112	4202.211854
113	4200.046994
114	4197.216397
115	4193.805128
116	4191.311508
117	4189.67838
118	4184.957634
119	4179.903962
120	4177.147358
121	4172.798139
122	4168.615588
123	4162.813524
124	4160.35529
125	4156.573917
126	4153.015246
127	4150.946733
128	4149.099173
129	4144.651797
130	4142.010445
131	4135.55147
132	4133.501013
133	4126.328022
134	4122.255682
135	4121.296401
136	4119.29954
137	4116.580592
138	4116.447599
139	4113.166722
140	4111.017783
141	4106.602037
142	4101.559941
143	4099.980221
144	4097.612623
145	4094.889365
146	4091.862659
147	4088.054875
148	4085.076321
149	4082.568681
150	4078.727079
151	4073.453054
152	4071.617962
153	4068.476058
154	4065.636246
155	4063.979795
156	4061.302424
157	4056.974106
158	4053.650209
159	4049.169027
160	4046.880045
161	4044.461028
162	4041.966226
163	4039.181972
164	4036.15364
165	4034.204558
166	4030.046795
167	4028.047076
168	4026.812625
169	4022.589862
170	4021.248887
171	4019.456329
172	4015.507368
173	4013.518371
174	4013.105714
175	4010.453481
176	4008.068566
177	4006.678215
178	4004.65248
179	4000.821169
180	3999.423547
181	3996.384942
182	3991.309699
183	3988.849845
184	3987.572954
185	3985.19009
186	3983.538416
187	3981.136376
188	3974.713633
189	3973.617504
190	3971.703709
191	3970.336369
192	3967.399293
193	3963.957232
194	3961.816613
195	3955.686687
196	3951.365892
197	3948.014411
198	3944.656634
199	3941.112608
200	3940.102479
201	3937.44675
202	3934.01454
203	3931.316529
204	3927.625369
205	3926.923902
206	3925.331685
207	3923.797512
208	3923.478061
209	3920.384812
210	3918.488627
211	3915.896659
212	3914.439507
213	3910.729641
214	3909.815857
215	3906.886267
216	3905.23123
217	3904.207976
218	3903.902327
219	3902.167166
220	3898.454524
221	3894.621765
222	3893.279858
223	3890.594142
224	3886.083689
225	3882.247324
226	3881.527045
227	3879.314381
228	3878.286278
229	3875.148184
230	3873.251736
231	3872.624488
232	3870.977568
233	3867.124135
234	3864.836909
235	3864.288974
236	3863.438342
237	3860.684654
238	3857.447022
239	3856.911814
240	3853.716132
241	3850.366577
242	3846.323904
243	3844.446753
244	3841.161454
245	3837.939684
246	3835.978228
247	3833.672178
