iter	Passed	Remaining
0	167	166947
1	173	86594
2	181	60390
3	189	47277
4	198	39539
5	206	34174
6	214	30474
7	218	27073
8	226	24985
9	232	22970
10	236	21238
11	238	19649
12	240	18286
13	244	17185
14	247	16229
15	250	15376
16	253	14633
17	255	13947
18	258	13329
19	258	12683
20	260	12165
21	263	11693
22	265	11259
23	267	10877
24	269	10524
25	271	10177
26	273	9861
27	275	9566
28	277	9289
29	279	9030
30	281	8790
31	283	8584
32	285	8373
33	287	8165
34	289	7981
35	291	7800
36	292	7615
37	294	7453
38	296	7300
39	298	7169
40	300	7038
41	303	6912
42	305	6793
43	307	6676
44	309	6566
45	311	6459
46	313	6365
47	315	6254
48	317	6155
49	319	6062
50	320	5971
51	322	5884
52	324	5801
53	326	5720
54	328	5651
55	331	5580
56	333	5510
57	335	5444
58	337	5375
59	338	5310
60	340	5248
61	342	5185
62	345	5133
63	347	5078
64	349	5022
65	350	4965
66	352	4911
67	354	4862
68	356	4813
69	357	4747
70	359	4706
71	361	4660
72	363	4614
73	365	4569
74	367	4527
75	368	4485
76	369	4434
77	371	4397
78	374	4361
79	376	4328
80	378	4291
81	380	4257
82	382	4223
83	384	4189
84	385	4154
85	387	4123
86	390	4094
87	392	4064
88	394	4034
89	396	4006
90	397	3975
91	399	3946
92	401	3917
93	402	3881
94	405	3859
95	407	3833
96	408	3805
97	410	3778
98	412	3754
99	414	3731
100	416	3707
101	418	3682
102	420	3659
103	422	3637
104	423	3613
105	425	3590
106	427	3569
107	429	3547
108	431	3526
109	433	3507
110	435	3491
111	437	3472
112	439	3453
113	441	3433
114	443	3414
115	445	3395
116	447	3375
117	449	3358
118	452	3346
119	453	3328
120	455	3310
121	457	3294
122	460	3285
123	462	3269
124	464	3253
125	466	3235
126	468	3220
127	470	3203
128	472	3189
129	474	3172
130	476	3161
131	478	3146
132	480	3130
133	482	3117
134	484	3101
135	485	3081
136	487	3068
137	488	3053
138	489	3033
139	492	3022
140	494	3009
141	495	2996
142	497	2983
143	499	2969
144	501	2957
145	503	2943
146	505	2933
147	507	2923
148	509	2911
149	511	2899
150	513	2886
151	515	2874
152	517	2862
153	518	2850
154	521	2842
155	523	2831
156	525	2820
157	527	2809
158	529	2798
159	530	2786
160	532	2775
161	534	2763
162	536	2752
163	537	2742
